"城市,平均工资"
北京,14.3
宁波,7.29
杭州,8.9
成都,8.62
武汉,9.91
珠海,10.0
上海,11.73
深圳,9.35
沈阳,5.53
南京,8.51
天津,11.33
徐州,7.5
佛山,6.6
乌鲁木齐,7.25
郑州,8.58
广州,11.46
厦门,13.03
西安,8.9
苏州,8.27
大连,9.12
长沙,10.64
抚顺,2.0
青岛,8.04
菏泽,5.0
合肥,8.11
福州,10.07
石家庄,8.86
济南,7.98
南昌,7.0
重庆,12.63
无锡,8.25
长春,6.4
太原,11.23
西宁,13.67
新乡,8.0
临沂,8.0
南通,8.5
烟台,5.71
绍兴,8.0
潍坊,5.0
泸州,7.0
平顶山,6.0
兰州,7.25
泰州,7.0
金华,8.0
贵阳,14.0
常州,9.0
银川,11.5
邯郸,4.4
昆明,12.0
唐山,4.0
秦皇岛,4.0
保定,4.5
日照,9.0
哈尔滨,6.25
鞍山,3.0
襄阳,6.0
泉州,7.0
淄博,4.0
新余,4.0
湘西,7.5
东莞,8.0
嘉兴,15.0
咸宁,3.0
常德,6.0
淮安,3.5
周口,6.0
贵州,全是工资面议有点难以置信
海口,全是工资面议有点难以置信
甘肃,全是工资面议有点难以置信
四川,全是工资面议有点难以置信
